path,sloc,normalized_sloc,cyclomatic,halstead,maintainability,churn,churn_per_sloc,decayed_churn,decayed_churn_per_sloc,smell_count,smell_severity,smell_burden,smells,similarity_score,similarity_band,match_count,score,norm_normalized_sloc,norm_sloc,norm_cyclomatic,norm_halstead,norm_maintainability,norm_churn,norm_churn_per_sloc,norm_decayed_churn,norm_decayed_churn_per_sloc,norm_smell_count,norm_match_count,norm_similarity_score
legal_RAG/rag_engines/aql_engine.py::ArangoGraphEngine.get_candidate_metrics,37,0.2968,7,24,58,80,2.1622,27.6924,0.7484,0,0.0000,0.0000,{},72.1900,medium,0,5.2391,0.5594,1.0000,0.2600,0.0200,0.4880,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000
scripts/dpv_concepts_by_type.py::main,92,1.4414,25,346,56,107,1.1630,19.2692,0.2094,3,0.7000,0.4750,"{""switch_statements"": 1, ""long_method"": 1, ""dead_code"": 1}",51.3600,low,0,5.2362,0.7883,1.0000,1.0000,0.9190,0.4560,1.0000,1.0000,0.8854,0.7142,0.4333,0.0000,1.0000
third_party/LLMGraphTransformer/src/LLMGraphTransformer/main.py::LLMGraphTransformer.graph_strict_mode_filtering,30,0.1512,15,82,51,31,1.0333,10.4224,0.3474,0,0.0000,0.0000,{},56.8200,low,0,5.2112,0.5302,1.0000,0.7500,0.3100,0.3760,0.8100,1.0000,0.7084,0.9211,0.0000,0.0000,1.0000
MCP/aw_modular/legal_rag_tool.py::_get_cached_indices_and_retrievers,120,2.0241,13,483,62,139,1.1583,48.0687,0.4006,1,0.7000,0.3917,"{""long_method"": 1}",43.8400,none,0,5.2074,0.9048,1.0000,0.6500,1.0000,0.5520,1.0000,1.0000,1.0000,1.0000,0.1500,0.0000,1.0000
BusinessGlossaryKG/ontology/schema/rdf_mapping.py::rdf_to_relationship_schemas,30,0.1512,11,172,31,45,1.5000,14.1009,0.4700,0,0.0000,0.0000,{},58.9600,low,0,5.1703,0.5302,1.0000,0.5500,0.6160,0.1100,0.9500,1.0000,0.7820,1.0000,0.0000,0.0000,1.0000
legal_RAG/rag_workflows/entity_extraction.py::fast_extract_entities,19,-0.0777,17,271,29,23,1.2105,5.7643,0.3034,0,0.0000,0.0000,{},79.1600,medium,0,5.1575,0.4845,1.0000,0.8500,0.8065,0.0900,0.7300,1.0000,0.4580,0.8551,0.0000,0.0000,1.0000
BusinessGlossaryKG/graph_build/ego_taxonomy.py::build_limited_ego_taxonomy,46,0.4841,13,98,24,100,2.1739,18.0086,0.3915,0,0.0000,0.0000,{},54.1900,low,0,5.0894,0.5968,1.0000,0.6500,0.3900,0.0400,1.0000,1.0000,0.8602,0.9872,0.0000,0.0000,1.0000
legal_RAG/rag_workflows/aql_workflow.py::_extract_entities_spacy,22,-0.0153,15,167,100,26,1.1818,7.4304,0.3377,0,0.0000,0.0000,{},56.8100,low,0,5.0662,0.4969,1.0000,0.7500,0.6010,1.0000,0.7600,1.0000,0.5532,0.9066,0.0000,0.0000,1.0000
BusinessGlossaryKG/graph_build/graph_improvement/similar_nodes.py::find_potential_misattributions,56,0.6922,15,117,59,105,1.8750,18.9090,0.3377,2,0.6750,0.4208,"{""long_parameter_list"": 1, ""switch_statements"": 1}",77.9100,medium,0,5.0649,0.6384,1.0000,0.7500,0.4510,0.5040,1.0000,1.0000,0.8782,0.9065,0.3000,0.0000,1.0000
BusinessGlossaryKG/graph_build/relationships_merge.py::_build_relationship_index,21,-0.0361,4,25,62,79,3.7619,26.3979,1.2570,0,0.0000,0.0000,{},59.7500,low,0,5.0282,0.4928,1.0000,0.0750,0.0250,0.5520,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000
BusinessGlossaryKG/config.py::get_langfuse_callback,30,0.1512,11,88,68,46,1.5333,13.6717,0.4557,1,0.6500,0.3667,"{""dead_code"": 1}",56.6400,low,0,5.0130,0.5302,1.0000,0.5500,0.3400,0.6600,0.9600,1.0000,0.7734,1.0000,0.1500,0.0000,1.0000
BusinessGlossaryKG/persistence/ingest_adb.py::_uri_to_curie,6,-0.3483,3,0,63,29,4.8333,10.0244,1.6707,0,0.0000,0.0000,{},58.8400,low,0,5.0122,0.4303,1.0000,0.0500,0.0000,0.5680,0.7900,1.0000,0.7005,1.0000,0.0000,0.0000,1.0000
BusinessGlossaryKG/graph_build/token_usage_callback.py::_message_metadata_for_usage,19,-0.0777,11,92,46,27,1.4211,8.6450,0.4550,0,0.0000,0.0000,{},56.2900,low,0,5.0050,0.4845,1.0000,0.5500,0.3600,0.2960,0.7700,1.0000,0.6226,1.0000,0.0000,0.0000,1.0000
EntityAlignment/matching/fused.py::FusedMatcher.__init__,51,0.5882,14,170,72,52,1.0196,18.2113,0.3571,2,0.6750,0.4208,"{""large_class"": 1, ""long_parameter_list"": 1}",45.9700,none,0,4.9992,0.6176,1.0000,0.7000,0.6100,0.7400,1.0000,1.0000,0.8642,0.9356,0.3000,0.0000,1.0000
legal_RAG/rag_engines/aql_engine.py::ArangoGraphEngine.diagnose_zero_connections,32,0.1928,10,120,58,46,1.4375,15.9232,0.4976,0,0.0000,0.0000,{},52.8900,low,0,4.9760,0.5386,1.0000,0.5000,0.4600,0.4880,0.9600,1.0000,0.8185,1.0000,0.0000,0.0000,1.0000
BusinessGlossaryKG/graph_build/taxonomy_iteration.py::_compute_adaptive_timeout,22,-0.0153,6,56,83,54,2.4545,18.1552,0.8252,0,0.0000,0.0000,{},55.0000,low,0,4.9514,0.4969,1.0000,0.1800,0.1800,0.9600,1.0000,1.0000,0.8631,1.0000,0.0000,0.0000,1.0000
BusinessGlossaryKG/graph_build/lookups.py::format_node_with_definition,4,-0.3899,3,16,44,23,5.7500,6.5896,1.6474,0,0.0000,0.0000,{},57.4300,low,0,4.9422,0.4220,1.0000,0.0500,0.0000,0.2640,0.7300,1.0000,0.5051,1.0000,0.0000,0.0000,1.0000
BusinessGlossaryKG/identity/canonicalization.py::apply_canonical_identity_to_graph,18,-0.0985,11,37,44,27,1.5000,8.0582,0.4477,0,0.0000,0.0000,{},54.0600,low,0,4.9244,0.4803,1.0000,0.5500,0.0850,0.2640,0.7700,1.0000,0.5890,1.0000,0.0000,0.0000,1.0000
